mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
167219.166667,168021.106061,87786.560606,170594.863636,95114.333333,96714.045455,157824.878788,134753.564935143,39161.6351883989
170751.435484,126751.145161,95187.83871,127478.096774,134871.629032,100694.790323,248557.693548,143470.375576,52532.1786737808
105545.903226,152065.209677,103172.516129,190965.516129,107225.290323,167399.048387,183484.177419,144265.380184286,38459.5248877367
117662.637931,203341.724138,108854.362069,210660.37931,120211.724138,175622.724138,291382.637931,175390.884236429,66186.2603083588
124184.966102,210668.118644,118958.762712,159878.779661,115213.457627,208701.169492,245171.237288,168968.070218,52604.1296181185
108808.5,188065.483871,103404.774194,179390.596774,109805.33871,194399.467742,122381.096774,143750.751152143,41346.0972573553
137755.032258,303148.983871,119554.467742,288600.5,122326.983871,128470.435484,137661.903226,176788.329493143,81751.477003112
183621.85,192741.783333,110592,148947.666667,111982.366667,128944.716667,172158.233333,149855.516666714,33889.2639986746
174424.844828,235125.689655,118052.086207,111098.241379,109041.448276,122270.793103,123415.672414,141918.396551714,46678.0181156672
196264.779661,147638.847458,107378.932203,105419.677966,104289.915254,118050.288136,115704.338983,127820.968523,33647.6538327387
136335.851852,269635.203704,253941.259259,199174.351852,134264.87037,155237.12963,220259.907407,195549.796296286,55391.3079642792
129255.018519,178198.962963,300749.074074,137874.203704,125811.074074,141436.277778,212249.888889,175082.071428714,63544.6982199304
118980.581818,227556.763636,198783.145455,202464.309091,129130.781818,196747.218182,177707.145455,178767.135065,40218.6338748018
123413.764706,198340.098039,187256.078431,222401.490196,134421.705882,212915.137255,171834.019608,178654.613445286,37867.528310282
126060.960784,194812.568627,236042.509804,240896.392157,139745.137255,140561.137255,138120.470588,173748.453781429,49386.5124399586
126019.607843,183578.156863,144311.54902,247378.568627,137899.803922,180820.058824,171762.333333,170252.868347429,40653.2801418789
136315.38,137755.8,251752.1,192773.16,313689.8,192339.32,138296.12,194703.097142857,67398.8173968836
122639.307692,129149.192308,212592.923077,216710.5,147412.730769,200489.423077,124714.269231,164815.478022,43224.7686646149
122774.117647,183755.117647,164989.960784,222283.960784,219490.803922,144897.882353,287209.411765,192200.179271714,55596.4128719113
175038.803922,182226.313725,215318.588235,227833.647059,260956.72549,122083.215686,195749.313725,197029.515406,44142.5452947771
234501.28,176998.78,214143.06,238617.4,184856.4,136940.1,127394.82,187635.977142857,44380.9878877753
206186.45098,151078.784314,329459.176471,175880.607843,195968.54902,136941.411765,177995.588235,196215.795518286,63442.3252909022
183610,180984.490196,220662.803922,325306.411765,201613.294118,137155.882353,167195.862745,202361.249299857,60205.1199130083
194363.607843,128015.686275,166789.823529,296628.72549,125444.117647,132530.627451,126952.980392,167246.509803857,62703.750298611
200459.94,184405.36,193057.42,334958.86,128688.14,226236.8,164720.2,204646.674285714,65029.1882114052
199747,133079.32,237301.92,257351.12,126772.88,203652.2,135703.88,184801.188571429,53309.6915127432
207853.083333,136276.645833,181569.604167,185827,133656.229167,219721.479167,194766.166667,179952.886904857,33335.4382996448
240784.047619,369954.285714,260049.880952,400430.095238,228266.666667,232562.428571,237712.738095,281394.306122286,72148.3938165365
285156.522727,361392.340909,227997.5,244472.795455,188969.568182,380422.363636,280641.454545,281293.220779143,69495.3719245316
234244.883721,244471.627907,266382.976744,250516.139535,170724.046512,211966.534884,235997.139535,230614.764119714,31209.6264380108
246837.395349,172821.697674,272642.162791,283342.72093,156466.302326,222959.860465,154997.418605,215723.936877143,54577.4215967777
