,set up=,6367,,,,,,set up=,4960,,,,,,set up=,276345,,,,,,set up=,30149,,,,,,set up=,15704,,,,,,set up=,297062,,,,,,,,,
,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,,,,
,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,
,'00 Muon,,,,,,,'01 Muon,,,,,,,'11 Muon,,,,,,,'00_tachyon,,,,,,,'01_tachyon,,,,,,,'11_tachyon,,,,,,,,,,
16x16,fl_pl=,0,,,,,,fl_pl=,0,,,,,,fl_pl=,1,,,,,,fl_pl=,0,,,,,,fl_pl=,0,,,,,,fl_pl=,1,,,,,,,,,
,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,mode1:,,,,,,,,,,
,set up=,306083,,,,,,set up=,104857,,,,,,set up=,12330586,,,,,,set up=,432053,,,,,,set up=,453863,,,,,,set up=,20062474,,,,,,,,,
,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,,,,
,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes,,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes,,,,,,
,1553,11550,1601,18504,110,,,300,2523,320,4224,110,,,17392399,8988624,2285,4235,110,,,1664,12560,1860,26424,110,,,1555,13436,2147,25383,110,,,34558067,1209160296,11517815,11094351,110,,,,,,
,991,17639,2065,26641,74,,,234,3439,368,5401,74,,,4543,151329,2088,4113,74,,,1290,19715,2205,37237,74,,,1293,20179,2618,32766,74,,,22883651,824559197,507190,25995,74,,,,,,
,849,19520,1947,43270,48,,,195,3794,449,8809,48,,,4190,95619,2273,3746,48,,,1098,20203,2304,55270,48,,,1542,20600,2715,48539,48,,,23703274,529202769,5519969,155887,48,,,,,,
,754,15719,1191,41560,26,,,167,3179,238,8629,26,,,4101,54629,3467,3237,26,,,1013,17904,1511,53121,26,,,987,17624,1540,47240,26,,,21244639,286519260,5930960,22075,26,,,,,,
