mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
123827,130087.333333,128914.666667,132300.666667,129856.333333,129418.333333,124030,132041.333333,123776,123182.666667,127743.4333333,3636.92129000399
126166,132196.666667,132792.333333,134277,132882.666667,133291,126083.333333,134445,127030,125956,130512,3687.92175413973
127800,134191.666667,142262,136661,134511,134669.333333,127438.333333,136901,130304.333333,127074.333333,133181.2999999,4954.44596818583
123650,128253.333333,131689.666667,131751.333333,130308.666667,129329,123167.333333,131501.666667,125473,124145.333333,127926.9333333,3505.17293507023
287943.5,296750,329408,301567.5,299328.5,301585.5,288472.5,301767.5,285274,282134,297423.1,13465.2893000237
299946,323253,324109,319129.5,320893,316614,299701.5,319651,300833,316562.5,314069.25,9900.91053121996
292627,311740,311344.5,306776.5,317619,312318,289714.5,311655.5,293429.5,295517,304274.15,10280.4940111791
286738,306845.5,312252,306256.5,288129.5,303686.5,289931,302665,292680,288708,297789.2,9470.41091798849
289281,299239.5,303504.5,301102,285707,305951.5,284686,304808,284010,285857.5,294414.7,9249.93424661314
274804.5,291113,295463.5,296698.5,275360.5,292612.5,277922,293006,274505.5,275399.5,284688.55,9741.40692396808
277256.5,293688,298249.5,292508.5,277906.5,292651.5,283135,295761.5,280213,279963.5,287133.35,8153.33019572712
279333.5,290058,286376,293652.5,278323,295023,279935,292945,274756.5,276775.5,284717.8,7746.30485816015
273481.5,287002,286104,287745.5,271061,288663,277495,290006,269131,275122.5,280581.15,8087.4841406336
269829.5,285367.5,284222,283764,270601,284171,268992,288267,272661,267288.5,277516.35,8254.68137567338
273279,281141.5,276050,280837,273677,281639,272052,284873.5,267496.5,268202.5,275924.8,5979.70880561922
273068,283364,281270,282478,268919,283126,268941.5,286475,271101.5,265054,276379.7,7712.90034509285
265189.5,280265,288650,277520.5,263255,278938.5,264981.5,279525.5,271463,262174.5,273196.3,9039.53869029462
264455,278266.5,291124.5,280691.5,264952.5,278606.5,273241.5,278912.5,266263,263708,274022.15,9073.16754394823
306605,327601,317848,320923.5,309735,322106,314253,320391,316343.5,308244.5,316405.05,6732.9756565479
